lat,lng
57.12377,-2.12285
57.14642,-2.09916
57.17913,-2.17726
57.18448,-2.09157
57.48642,-1.80364
51.74246,-0.34251
51.75976,-0.24079
51.71684,-0.27854
51.80116,-0.20428
52.47305,-1.87307
52.41436,-1.87047
52.47866,-1.89791
52.48065,-1.8976
52.51022,-1.96021
52.53259,-1.82897
52.52043,-1.80208
52.45987,-1.80296
52.47962,-1.90134
52.40847,-1.91763
52.41582,-1.96912
52.47827,-1.78116
52.48731,-1.81066
52.47666,-1.73643
52.48027,-1.89429
52.51711,-1.90422
52.54273,-1.86803
52.39631,-2.00074
52.46766,-1.90004
52.45894,-2.08684
52.45124,-2.04356
52.48845,-1.94912
52.46716,-1.98351
52.50255,-2.01769
52.49234,-2.02233
52.50548,-1.85649
52.51845,-1.99399
52.53045,-1.98817
52.56293,-1.8228
52.59075,-1.78075
52.62754,-1.70426
52.63279,-1.69421
52.48041,-1.83322
52.38113,-1.78897
52.41333,-1.77879
52.44163,-1.81123
52.3055,-1.94036
52.28239,-1.92999
52.31195,-1.88707
51.37861,-2.35986
51.21639,-2.33212
51.30543,-2.21138
51.12393,-2.75312
51.38046,-2.39013
50.93577,-2.64493
51.02995,-2.57291
53.75396,-2.44558
53.74842,-2.4841
53.78921,-2.24109
53.78661,-2.25095
53.72918,-2.49234
53.71306,-2.47793
53.75511,-2.3687
53.7249,-2.32802
53.83999,-2.39476
53.8596,-2.17084
53.79374,-1.75253
53.79829,-1.75214
53.82431,-1.73428
53.8351,-1.77133
53.87454,-1.90348
53.94078,-2.01338
53.80079,-1.70887
53.77195,-1.73263
53.76873,-1.74769
53.79772,-1.78438
50.72052,-1.87738
50.72644,-1.841
50.73821,-1.91643
50.71623,-1.98368
50.73325,-1.9909
50.81164,-1.8733
50.74085,-1.73935
50.72638,-1.86428
50.75167,-1.84051
53.57969,-2.43047
53.59082,-2.47939
53.59663,-2.43022
53.57225,-2.43552
53.54581,-2.52205
53.58256,-2.53541
53.59404,-2.29504
53.5956,-2.29658
53.57757,-2.27578
50.82443,-0.14926
50.8231,-0.1446
50.83103,-0.13477
50.81066,-0.3709
50.84328,-0.54246
50.81265,-0.10441
",50.7685",",0.28335"
",50.7861",",0.30558"
50.84409,-0.24828
50.83281,-0.26167
",50.7964",",0.05862"
",51.4071",",0.01528"
",51.4057",",0.01453"
51.42109,-0.00296
",51.3748",",0.04459"
",51.3741",",0.09845"
51.45281,-2.589
51.45873,-2.58814
51.52567,-2.6066
51.53005,-2.60022
51.41683,-2.58862
51.44837,-2.49937
51.44687,-2.56048
51.4808,-2.7592
51.36125,-2.9082
51.34761,-2.97884
51.34446,-2.97069
51.43942,-2.6002
51.44373,-2.59471
51.52498,-2.59628
51.50652,-2.55814
51.53657,-2.41961
51.42996,-2.53882
54.59917,-5.93017
54.59823,-5.9248
54.57724,-5.9793
54.59465,-5.80867
54.64826,-5.64495
54.59166,-5.69651
54.49213,-6.06061
54.32345,-5.72108
54.1919,-6.35001
54.66889,-5.95521
54.65476,-5.91721
54.71225,-5.81349
54.86481,-6.27985
54.99894,-7.27445
54.99454,-7.3194
55.00974,-7.31797
54.59789,-5.89174
55.11714,-6.67598
54.4219,-6.43953
54.4501,-6.39232
54.46203,-6.3418
54.51002,-6.76035
54.34349,-7.62978
54.59262,-7.31431
54.53011,-5.89481
54.63381,-6.74336
54.66211,-2.75808
54.6422,-3.56476
54.54351,-3.58355
54.92631,-2.94747
54.89537,-2.93579
",52.2060",",0.11908"
",52.1042",",0.17655"
52.26876,-0.00899
",52.2126",",0.16359"
51.48162,-3.17857
51.47878,-3.17811
51.45673,-3.18652
51.47243,-3.20706
51.49951,-3.20272
51.52412,-3.24406
51.56483,-3.27502
51.53565,-3.13046
51.49835,-3.14051
51.49567,-3.56698
51.53036,-3.57444
51.51405,-3.49594
51.63155,-3.45447
51.71638,-3.44663
51.74864,-3.38981
51.73836,-3.37687
51.46425,-3.27399
51.41513,-3.23191
51.53286,-3.37554
51.58863,-3.2112
53.19124,-2.88584
53.19176,-2.89215
53.19774,-2.91015
53.26823,-2.80251
53.16887,-2.97664
53.38917,-3.03035
53.38615,-3.01482
53.41951,-3.04361
53.38025,-3.10013
53.2043,-3.02866
53.25086,-3.13621
53.33784,-2.9788
53.2793,-2.90009
53.26533,-2.87983
53.16933,-3.13836
53.19388,-3.09279
53.2755,-3.30294
",51.7380",",0.47974"
",51.7325",",0.47468"
",51.6192",",0.30118"
",51.6449",",0.34470"
",51.7418",",0.13422"
",51.7533",",0.09369"
",51.7542",",0.51785"
",51.7695",",0.09444"
",51.7825",",0.10807"
",51.8757",",0.24908"
",51.6434",",0.61763"
",51.8677",",0.58127"
",51.7365",",0.67866"
",51.8896",",0.89971"
",51.8974",",0.90656"
",52.0469",",0.74626"
",51.7886",",1.15282"
",51.8592",",1.10391"
",51.8842",",0.83203"
51.37477,-0.09249
51.37341,-0.10357
51.37445,-0.10041
51.37535,-0.10037
51.36748,-0.11844
51.35662,-0.11515
51.37487,-0.12766
51.38129,-0.12298
51.37671,-0.03498
51.40622,-0.16389
51.39794,-0.11835
",51.2933",",1.10765"
",51.2776",",1.08176"
",51.3575",",1.39676"
",51.3338",",1.41995"
",51.1271",",1.31003"
",51.1549",",1.28866"
",51.0951",",1.16577"
",51.0779",",1.17867"
",51.3596",",1.06374"
",51.3866",",1.38122"
52.40948,-1.51081
52.40763,-1.51337
52.49796,-1.47453
52.52257,-1.46934
52.43068,-1.43871
52.38829,-1.25347
52.37126,-1.26257
52.39803,-1.4413
52.28115,-1.54645
52.29256,-1.53631
52.19257,-1.70466
52.40275,-1.5581
52.41262,-1.52463
52.42998,-1.4837
53.09757,-2.44226
53.09182,-2.4308
53.14391,-2.36878
53.16749,-2.21868
53.19793,-2.51382
53.26072,-2.51275
",51.4435",",0.21621"
",51.4514",",0.18060"
",51.4424",",0.36888"
",51.4097",",0.14423"
",51.4255",",0.10407"
",51.4636",",0.10752"
",51.4568",",0.14383"
",51.4783",",0.18085"
",51.4482",",0.28054"
",51.4394",",0.27341"
56.46085,-2.97051
56.46386,-2.96932
56.54997,-2.61115
56.48135,-3.02178
56.47721,-2.9282
56.29399,-2.49974
56.63315,-2.92267
52.92113,-1.4766
52.77644,-1.56115
52.68503,-1.54574
52.82662,-1.6195
52.80401,-1.63295
52.78882,-1.67194
52.94146,-1.46275
52.91767,-1.43457
52.91789,-1.4214
52.92889,-1.50515
52.89684,-1.47165
53.05352,-1.39571
53.13396,-1.33257
53.08839,-1.37588
53.02121,-1.48508
52.97211,-1.3084
55.07986,-3.62923
54.80825,-1.5798
54.84903,-1.83793
54.52759,-1.5538
54.58689,-1.56513
54.51876,-1.50129
54.66412,-1.67494
54.70446,-1.56538
54.29928,-1.56663
54.37568,-1.72262
53.52195,-1.1366
53.70435,-0.92444
53.59139,-0.64981
53.58889,-0.69509
53.56456,-0.61585
53.54561,-1.08155
53.2556,-0.92171
53.56607,-0.08165
53.57454,-0.09798
53.54632,-0.01384
53.5673,-0.03717
53.54963,-0.13879
53.50603,-1.11242
53.51192,-1.09662
53.50867,-1.14344
53.57592,-1.20732
50.71174,-2.47434
50.61627,-2.45723
50.61014,-2.45372
52.5129,-2.06926
52.37017,-2.247
52.38678,-2.25128
52.52617,-2.11431
52.52587,-2.014
52.4805,-2.11339
52.48131,-2.11369
52.47839,-2.11346
52.50022,-2.1529
51.51487,-0.05964
",51.5700",",0.01338"
51.50708,-0.00915
",51.5407",",0.00075"
",51.5181",",0.01395"
51.58365,-0.019
51.50926,-0.06063
51.5269,-0.05887
51.54351,-0.00607
51.52974,-0.01501
51.63505,-0.01163
",51.5340",",0.05380"
",51.5219",",0.07191"
",51.5161",",0.07749"
",51.5463",",0.02796"
51.54113,-0.03686
51.54726,-0.07545
51.5176,-0.11017
51.52892,-0.09254
51.51718,-0.08851
51.51764,-0.08239
51.51431,-0.1078
51.51124,-0.08786
55.95296,-3.19035
55.93661,-3.23736
55.94191,-3.29401
55.92596,-3.24734
55.9335,-3.09817
55.95328,-3.19136
55.9505,-3.20656
55.88614,-3.1619
55.93835,-3.40272
55.98399,-3.40686
55.96136,-3.24241
55.89903,-3.64297
55.88378,-3.51521
55.88229,-3.51588
55.88451,-3.52532
55.96868,-3.14234
55.9563,-3.15969
51.65176,-0.05955
51.67974,-0.04979
51.65231,-0.08296
51.6566,-0.03079
51.65393,-0.20135
51.69667,-0.19179
51.68675,-0.00979
50.86147,-3.38457
50.91111,-3.4682
50.70904,-3.53601
51.06556,-4.08105
51.07522,-4.04467
50.72279,-3.5325
50.63084,-3.37444
56.00431,-3.77749
56.00086,-3.7821
56.11705,-3.77419
56.01161,-3.74648
56.12862,-3.94289
56.11855,-3.9365
53.81463,-3.05408
53.80812,-3.04999
53.79819,-3.05544
53.77879,-3.03391
53.80203,-3.01081
53.91827,-3.01263
53.74632,-2.93342
55.85757,-4.25294
55.85691,-4.24592
55.87233,-4.31295
55.89229,-4.33162
55.86453,-4.25678
55.85828,-4.25728
55.887,-4.28469
55.89299,-4.23506
55.86255,-4.28064
55.85755,-4.19924
55.83625,-4.16897
55.86871,-4.1201
55.83908,-4.2668
55.8066,-4.23345
55.80759,-4.31613
55.87609,-4.36753
55.87279,-4.36012
55.85142,-4.31998
55.80499,-4.34075
55.93366,-4.3182
55.94557,-4.15714
55.95022,-3.9876
55.84772,-4.06635
55.76478,-4.21003
55.76996,-4.17613
55.77883,-4.16232
55.90642,-4.39821
55.90455,-4.40069
55.94408,-4.56311
56.00045,-4.59023
51.8662,-2.2471
51.80514,-2.28997
51.83832,-2.26954
55.89097,-4.18699
51.862,-2.21553
51.74557,-2.22043
51.89873,-2.07183
51.91436,-2.09925
51.70706,-1.95419
51.2374,-0.56785
51.23624,-0.5758
51.24935,-0.7655
51.30859,-0.7484
51.33407,-0.7666
51.33825,-0.74422
51.318,-0.55627
51.31895,-0.55816
51.00851,-0.95121
51.29581,-0.85573
51.28202,-0.84102
51.57952,-0.3387
51.57969,-0.33426
51.57249,-0.3505
51.59354,-0.33506
51.57322,-0.42341
51.62141,-0.29192
51.5534,-0.29487
51.56177,-0.28074
53.64694,-1.7823
53.65901,-1.76346
53.64525,-1.73293
53.71624,-1.77882
53.99377,-1.54115
54.12048,-1.52642
53.99854,-1.44008
51.74186,-0.52121
51.62921,-0.7503
51.61151,-0.77977
51.82432,-0.83362
51.74842,-0.45602
51.81636,-0.81027
51.7394,-0.47268
51.59125,-0.6292
52.05715,-2.71317
52.04315,-2.73302
53.7448,-0.34095
53.76254,-0.45559
53.7276,-0.37496
53.77029,-0.38191
53.79452,-0.34611
53.79256,-0.35049
53.75422,-0.31022
53.72341,-1.86102
53.72427,-1.88725
53.70242,-1.85374
",51.5598",",0.07679"
",51.5369",",0.07787"
",51.5783",",0.07408"
",51.5650",",0.10366"
",51.5918",",0.08308"
54.15355,-4.50108
",52.0524",",1.14991"
",52.0577",",1.15520"
",52.0851",",1.11314"
",51.9563",",1.32810"
",52.0554",",1.13447"
",52.4052",",0.72389"
",52.0298",",1.20036"
",52.2463",",0.71321"
57.47773,-4.22349
57.64645,-3.2856
49.18347,-2.10842
55.60478,-4.49566
55.61075,-4.67281
55.6462,-4.73418
